SKU,Product Name (TH),Product Name (EN),Product Name (CN),Description (TH),Description (EN),Description (CN),Price,Compare At Price,Cost,Stock,Weight,Category,Tags,Status,Featured,Image URLs,Image Files,External ID
IPHONE-15PM,iPhone 15 Pro Max 256GB,iPhone 15 Pro Max 256GB,iPhone 15 Pro Max 256GB,"ไอโฟนที่ทรงพลังที่สุด พร้อมชิป A17 Pro ดีไซน์ไทเทเนียม และระบบกล้องขั้นสูง","The most powerful iPhone ever with A17 Pro chip, titanium design, and advanced camera system.",最强大的iPhone配备A17 Pro芯片、钛金属设计和先进相机系统,45900,49900,35000,50,0.221,Smartphones,"apple,iphone,smartphone,5g",active,yes,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800|https://images.unsplash.com/photo-1695048064070-1bbaf0562815?w=800,,OLD-IPH-001
MACBOOK-M3,MacBook Pro 14" M3,MacBook Pro 14" M3,MacBook Pro 14" M3,"MacBook Pro สุดล้ำพร้อมชิป M3 จอ Liquid Retina XDR สุดสวย และแบตเตอรี่ใช้งานได้ทั้งวัน","Revolutionary MacBook Pro with M3 chip, stunning Liquid Retina XDR display, and all-day battery life.",革命性的MacBook Pro配备M3芯片、令人惊叹的Liquid Retina XDR显示屏和全天电池续航,89900,94900,65000,30,1.55,Laptops,"apple,macbook,laptop,m3",active,yes,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800|https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800,,OLD-MAC-002
AIRPODS-PRO,AirPods Pro (รุ่นที่ 2),AirPods Pro (2nd Gen),AirPods Pro (第二代),"เสียงดื่มด่ำพร้อม Adaptive Audio ตัดเสียงรบกวน และเคสชาร์จไร้สาย","Immersive sound with Adaptive Audio, Active Noise Cancellation, and wireless charging case.",沉浸式音效配备自适应音频、主动降噪和无线充电盒,8990,9990,5500,200,0.056,Audio,"apple,airpods,wireless,earbuds",active,yes,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7?w=800,,OLD-APD-003
IPAD-AIR,iPad Air 11" M2 128GB,iPad Air 11" M2 128GB,iPad Air 11" M2 128GB,"พลังสุดล้ำด้วยชิป M2 ประสิทธิภาพเหนือระดับ แบตเตอรี่ใช้งานได้ทั้งวัน","Supercharged by the M2 chip with breakthrough performance, all-day battery life.",由M2芯片驱动实现突破性性能和全天电池续航,23900,25900,18000,80,0.462,Tablets,"apple,ipad,tablet,m2",active,no,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=800,,OLD-IPD-004
MAGIC-KEYBOARD,Magic Keyboard สำหรับ iPad Pro,Magic Keyboard for iPad Pro,iPad Pro妙控键盘,"ดีไซน์ลอยตัวพร้อม trackpad คีย์มีแบ็คไลท์ และพอร์ต USB-C สำหรับชาร์จ","Floating design with trackpad, backlit keys, and USB-C port for charging.",浮动式设计配备触控板、背光键盘和USB-C充电端口,12900,13900,7500,100,0.7,Accessories,"keyboard,ipad,accessories",active,no,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800,,OLD-MKB-005
APPLE-WATCH-S9,Apple Watch Series 9 45mm GPS,Apple Watch Series 9 45mm GPS,Apple Watch Series 9 45mm GPS,"ฟีเจอร์สุขภาพขั้นสูง จอ Retina แบบ always-on และติดตามการออกกำลังกายอย่างทรงพลัง","Advanced health features, always-on Retina display, and powerful workout tracking.",先进的健康功能、全天候Retina显示屏和强大的运动追踪,15900,16900,11000,120,0.054,Smartwatches,"apple,watch,smartwatch,health",active,yes,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=800,,OLD-AWC-006
AIRTAG-4PACK,AirTag แพ็ค 4 ชิ้น,AirTag 4 Pack,AirTag 4件装,"ติดตามกุญแจ กระเป๋าสตางค์ กระเป๋าเดินทาง และอื่นๆ ได้อย่างแม่นยำ","Keep track of your keys, wallet, luggage, and more with precision finding.",精确追踪您的钥匙、钱包、行李等物品,4490,4990,2800,300,0.044,Accessories,"apple,airtag,tracker,findmy",active,no,https://images.unsplash.com/photo-1631464876861-a92c9e7b8fa8?w=800,,OLD-TAG-007
USB-C-CABLE,สายชาร์จ USB-C to Lightning 1m,USB-C to Lightning Cable 1m,USB-C转Lightning线缆 1米,"ชาร์จเร็วและซิงค์ข้อมูลสำหรับ iPhone และ iPad พร้อมตัวเชื่อม USB-C","Fast charging and data sync for iPhone and iPad with USB-C connector.",为iPhone和iPad提供快速充电和数据同步的USB-C接口,790,990,350,500,0.023,Accessories,"cable,usb-c,charging,lightning",active,no,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=800,,OLD-CBL-008
MAGSAFE-CHARGER,ที่ชาร์จ MagSafe,MagSafe Charger,MagSafe充电器,"ชาร์จไร้สายที่จัดตำแหน่งได้อย่างสมบูรณ์แบบกับ iPhone 12 ขึ้นไป เพื่อชาร์จเร็วขึ้น","Wireless charging that perfectly aligns with iPhone 12 and later for faster charging.",完美对齐iPhone 12及更新机型的无线充电实现更快充电,1590,1790,950,250,0.12,Accessories,"magsafe,wireless,charger,apple",active,no,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800,,OLD-CHG-009
CLEAR-CASE,เคส iPhone 15 Pro ใส,iPhone 15 Pro Clear Case,iPhone 15 Pro透明保护壳,"เคสบางเบาที่แสดงดีไซน์สวยงามของ iPhone ของคุณ","Thin and light case that showcases the beautiful design of your iPhone.",轻薄保护壳展现您iPhone的精美设计,1990,2490,850,400,0.052,Accessories,"case,iphone,protection,clear",active,no,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,,OLD-CSE-010
