SKU,Product Name,Description,Price,Compare At Price,Cost,Stock,Weight,Category,Tags,Status,Featured,Image URLs,Image Files,External ID
IPHONE-15PM,iPhone 15 Pro Max 256GB,"The most powerful iPhone ever with A17 Pro chip, titanium design, and advanced camera system.",45900,49900,35000,50,0.221,Smartphones,"apple,iphone,smartphone,5g",active,yes,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=800|https://images.unsplash.com/photo-1695048064070-1bbaf0562815?w=800,,OLD-IPH-001
MACBOOK-M3,MacBook Pro 14" M3,"Revolutionary MacBook Pro with M3 chip, stunning Liquid Retina XDR display, and all-day battery life.",89900,94900,65000,30,1.55,Laptops,"apple,macbook,laptop,m3",active,yes,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=800|https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800,,OLD-MAC-002
AIRPODS-PRO,"AirPods Pro (2nd Gen)","Immersive sound with Adaptive Audio, Active Noise Cancellation, and wireless charging case.",8990,9990,5500,200,0.056,Audio,"apple,airpods,wireless,earbuds",active,yes,https://images.unsplash.com/photo-1606841837239-c5a1a4a07af7?w=800,,OLD-APD-003
IPAD-AIR,iPad Air 11" M2 128GB,"Supercharged by the M2 chip with breakthrough performance, all-day battery life.",23900,25900,18000,80,0.462,Tablets,"apple,ipad,tablet,m2",active,no,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=800,,OLD-IPD-004
MAGIC-KEYBOARD,Magic Keyboard for iPad Pro,"Floating design with trackpad, backlit keys, and USB-C port for charging.",12900,13900,7500,100,0.7,Accessories,"keyboard,ipad,accessories",active,no,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800,,OLD-MKB-005
APPLE-WATCH-S9,Apple Watch Series 9 45mm GPS,"Advanced health features, always-on Retina display, and powerful workout tracking.",15900,16900,11000,120,0.054,Smartwatches,"apple,watch,smartwatch,health",active,yes,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=800,,OLD-AWC-006
AIRTAG-4PACK,AirTag 4 Pack,"Keep track of your keys, wallet, luggage, and more with precision finding.",4490,4990,2800,300,0.044,Accessories,"apple,airtag,tracker,findmy",active,no,https://images.unsplash.com/photo-1631464876861-a92c9e7b8fa8?w=800,,OLD-TAG-007
USB-C-CABLE,USB-C to Lightning Cable 1m,"Fast charging and data sync for iPhone and iPad with USB-C connector.",790,990,350,500,0.023,Accessories,"cable,usb-c,charging,lightning",active,no,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=800,,OLD-CBL-008
MAGSAFE-CHARGER,MagSafe Charger,"Wireless charging that perfectly aligns with iPhone 12 and later for faster charging.",1590,1790,950,250,0.12,Accessories,"magsafe,wireless,charger,apple",active,no,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800,,OLD-CHG-009
CLEAR-CASE,iPhone 15 Pro Clear Case,"Thin and light case that showcases the beautiful design of your iPhone.",1990,2490,850,400,0.052,Accessories,"case,iphone,protection,clear",active,no,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,,OLD-CSE-010
HOMEPOD-MINI,HomePod mini,"Amazing sound for its size, Siri assistant, and smart home control.",3990,4490,2500,150,0.345,Smart Home,"apple,homepod,speaker,siri,smarthome",active,yes,https://images.unsplash.com/photo-1589492477829-5e65395b66cc?w=800,,OLD-HPM-011
MAGIC-MOUSE,Magic Mouse,"Wireless rechargeable mouse with Multi-Touch surface and built-in battery.",3290,3790,1900,180,0.099,Accessories,"mouse,wireless,apple,magic",active,no,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800,,OLD-MMS-012
APPLE-PENCIL-2,Apple Pencil (2nd Gen),"Pixel-perfect precision, low latency, and tilt sensitivity for iPad Pro.",4990,5490,3200,140,0.021,Accessories,"pencil,stylus,ipad,drawing",active,yes,https://images.unsplash.com/photo-1611532736579-6b16e2b50449?w=800,,OLD-PNC-013
IPHONE-15,iPhone 15 128GB,"Dynamic Island, 48MP Main camera, all-day battery life in a beautiful design.",32900,34900,24000,100,0.171,Smartphones,"apple,iphone,smartphone,camera",active,yes,https://images.unsplash.com/photo-1695653422715-991ec3a0db7a?w=800|https://images.unsplash.com/photo-1695653422758-0994da16ad27?w=800,,OLD-IPH-014
MACBOOK-AIR-M2,MacBook Air 13" M2,"Strikingly thin and fast with M2 chip, stunning display, and up to 18 hours battery.",44900,46900,32000,60,1.24,Laptops,"apple,macbook,laptop,m2,thin",active,yes,https://images.unsplash.com/photo-1611186871348-b1ce696e52c9?w=800,,OLD-MAC-015
